IRIS;LIBIRIS;COM;LIBCOM;DISP_TP6017;DISP_Q117;DISP_MED17;DISP_Q317;DISP_EQ17;DISP_D117;DISP_D217;DISP_D317;DISP_D417;DISP_D617;DISP_D717;DISP_D817;DISP_D917;DISP_RD17;DISP_S80S2017;DISP_GI17;DISP_PACT17;DISP_PTSA17;DISP_PCHO17;DISP_PBEN17;DISP_PPEN17;DISP_PPAT17;DISP_PPSOC17;DISP_PPFAM17;DISP_PPMINI17;DISP_PPLOGT17;DISP_PIMPOT17;DISP_NOTE17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341540103;Quartir nord;34154;Mauguio;7,2;18710;24100;30770;0,50;14200;17330;20010;22260;26150;29370;32710;39030;2,7;3,5;0,25;72,8;63,1;2,8;6,9;33,4;9,5;2,8;1,3;0,9;0,6;-18,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341540104;Quartier est;34154;Mauguio;;18590;24200;31250;0,52;13630;17420;19840;21840;26470;29940;33740;40330;3,0;3,6;0,25;65,8;58,3;2,4;5,1;38,5;11,1;2,9;1,4;1,0;0,5;-18,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341540105;Carnon;34154;Mauguio;16,2;14720;20960;29230;0,69;10410;13550;16050;18270;23940;27250;31900;39640;3,8;5,0;0,32;65,8;54,3;4,2;7,3;36,9;12,3;4,4;0,7;2,3;1,4;-19,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341540107;Périphérie nord et est;34154;Mauguio;12,6;16130;22080;30190;0,64;11870;14850;17860;20020;25040;28000;32010;39050;3,3;3,9;0,27;85,0;75,3;3,6;6,1;15,3;12,3;5,4;2,8;1,5;1,1;-18,0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341570101;Centre Ville-Quartier Historique;34157;Mèze;23,9;12870;17070;22650;0,57;9610;12000;13900;15380;19060;21340;24380;29890;3,1;3,9;0,27;52,5;43,7;3,8;5,0;43,0;8,8;8,8;2,2;4,1;2,5;-13,1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341570102;Quartiers Nord;34157;Mèze;25,3;12650;17020;23950;0,66;9600;11790;13310;15170;19490;22210;25960;31580;3,3;4,2;0,29;46,4;36,8;4,8;4,8;49,0;10,4;8,1;2,1;3,5;2,5;-13,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341570103;Couronne Périurbaine;34157;Mèze;12,4;15930;21010;27150;0,53;11740;14670;17050;18900;23090;25470;29010;34890;3,0;3,6;0,25;60,6;51,5;2,9;6,2;40,9;10,1;4,3;2,0;1,4;0,9;-15,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720101;Ecole d'Architecture-Triolet;34172;Montpellier;19,2;14520;21270;30280;0,74;9000;12880;16010;18910;24900;28510;32760;43380;4,8;6,2;0,34;76,1;67,2;3,0;5,9;27,6;9,8;6,3;1,4;2,4;2,5;-19,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720102;Vert Bois;34172;Montpellier;30,3;11570;17160;24470;0,75;8150;10650;12560;14380;19320;22560;26690;35630;4,4;5,6;0,33;75,8;62,4;5,1;8,3;22,7;8,0;10,5;1,7;4,3;4,5;-17,0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720103;Saint-Eloi;34172;Montpellier;29,1;11760;17280;25380;0,79;7220;10490;12900;14720;19900;23410;27260;34290;4,7;6,8;0,36;79,5;68,1;3,6;7,8;21,9;7,6;9,4;1,8;3,7;3,9;-18,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720105;Lapeyronie;34172;Montpellier;20,7;14220;21470;29520;0,71;9590;12400;15460;18640;24530;27850;32870;41540;4,3;5,6;0,32;75,7;64,8;3,4;7,5;28,7;9,4;6,5;1,2;2,8;2,5;-20,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720106;Occitanie;34172;Montpellier;29,1;11870;16790;22830;0,65;7930;10650;12810;14660;18760;21170;25580;35540;4,5;6,0;0,34;79,7;66,8;5,4;7,5;16,8;7,4;12,1;1,8;5,0;5,3;-16,0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720108;Malbosc;34172;Montpellier;17,3;14250;19670;25860;0,59;10660;13210;15220;17180;21980;24570;28320;34930;3,3;3,9;0,27;90,2;79,9;4,0;6,3;13,2;4,2;8,7;3,2;2,9;2,6;-16,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720109;Euromédecine;34172;Montpellier;27,7;12210;16900;22660;0,62;9020;11340;13110;14930;18830;21270;24910;32170;3,6;4,6;0,30;82,2;70,0;5,4;6,8;15,8;6,1;12,1;2,9;4,8;4,4;-16,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720202;Aiguelongue;34172;Montpellier;;21350;32250;49740;0,88;13090;18820;23550;27930;38310;45390;54770;78580;6,0;7,3;0,38;81,3;56,1;2,0;23,2;27,8;19,8;1,9;0,5;0,7;0,7;-30,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720203;Méric;34172;Montpellier;10,0;17960;25920;37000;0,73;12670;16480;19480;22380;29100;33940;39550;50110;4,0;5,2;0,32;75,8;61,4;2,9;11,5;30,0;14,1;3,6;1,0;1,5;1,1;-23,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720204;Justice;34172;Montpellier;31,6;11630;17310;26140;0,84;8850;10760;12550;14650;20160;24070;29030;37970;4,3;5,3;0,33;70,8;59,8;3,8;7,2;26,9;8,1;11,7;2,6;5,3;3,8;-17,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720301;Agropolis;34172;Montpellier;17,0;16350;23500;33610;0,73;9650;13870;18020;20490;26550;30750;38590;54780;5,7;6,7;0,36;76,3;62,5;3,2;10,6;26,8;14,9;4,3;1,1;1,6;1,6;-22,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720401;Blayac;34172;Montpellier;53,2;9930;12310;15870;0,48;8230;9420;10430;11440;13560;15030;17190;20880;2,5;3,0;0,22;55,7;47,7;6,3;1,7;20,4;3,9;28,6;10,7;9,9;8,0;-8,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720402;Bologne;34172;Montpellier;57,8;9540;11870;14970;0,46;7800;9180;10030;10920;12860;14020;15580;18430;2,4;2,8;0,20;41,1;34,4;5,7;1,0;24,3;2,3;37,9;11,8;15,6;10,5;-5,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720403;Oxford;34172;Montpellier;62,4;9350;11560;14250;0,42;7660;8920;9800;10740;12450;13620;15090;17880;2,3;2,6;0,19;41,9;34,7;6,1;1,1;19,6;1,6;42,0;12,9;17,9;11,2;-5,1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720404;Le Mail Sud;34172;Montpellier;63,3;9270;11390;14170;0,43;7500;8690;9650;10440;12320;13610;15010;17170;2,3;2,7;0,19;44,5;35,9;7,4;1,2;18,1;1,6;41,0;12,4;16,4;12,2;-5,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720405;Le Mail Nord;34172;Montpellier;71,3;8900;10970;13060;0,38;6260;8260;9390;10180;11810;12560;13760;16000;2,6;3,0;0,20;43,7;35,9;7,0;0,8;17,1;1,7;42,6;11,2;18,6;12,8;-5,1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720501;Les Garrigues;34172;Montpellier;48,7;10100;12800;16950;0,54;8260;9560;10800;11780;14160;15790;18390;22450;2,7;3,2;0,24;59,0;51,0;6,4;1,6;19,9;3,1;27,0;9,9;9,1;8,0;-9,0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720502;Les Gémeaux;34172;Montpellier;47,1;10350;13020;17930;0,58;8500;9860;11040;12030;14350;16460;19410;26040;3,1;3,5;0,26;54,2;47,2;5,3;1,7;26,1;4,5;25,4;8,3;10,0;7,1;-10,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720503;Les Tours;34172;Montpellier;41,0;10800;14190;19780;0,63;8660;10020;11510;12490;15820;18370;20890;25450;2,9;3,3;0,25;58,8;49,8;5,4;3,6;24,7;4,5;22,3;7,6;8,6;6,1;-10,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720602;Celleneuve;34172;Montpellier;36,3;10760;14460;19670;0,62;7990;10090;11700;13080;16290;18470;20930;25230;3,2;3,6;0,25;69,9;60,9;6,6;2,4;19,6;3,6;18,5;4,9;7,3;6,3;-11,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720603;La Fontaine;34172;Montpellier;24,9;12680;18060;24250;0,64;9170;11710;13550;15350;20330;23090;25840;31850;3,5;4,1;0,27;71,1;61,7;5,6;3,8;27,0;6,5;10,2;2,6;4,3;3,3;-14,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720701;Les Tonnelles;34172;Montpellier;31,7;11660;16470;23360;0,71;8740;10780;12440;13950;18770;21390;25200;31460;3,6;4,5;0,30;59,2;50,5;5,2;3,5;32,5;8,2;14,1;3,7;6,1;4,3;-14,0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720702;Pilory;34172;Montpellier;43,3;9970;13660;19560;0,70;7420;9080;10850;12110;15660;17870;21290;26840;3,6;4,7;0,30;60,9;51,6;5,6;3,7;25,8;6,2;19,1;5,3;8,2;5,6;-12,0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720703;Alco;34172;Montpellier;48,2;9680;13030;19520;0,76;7400;9050;10290;11490;14930;17690;21410;26630;3,6;4,6;0,30;65,1;56,0;5,9;3,2;25,1;5,0;17,3;6,0;6,0;5,3;-12,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720704;Soulas;34172;Montpellier;14,9;15780;22200;30950;0,68;10090;14250;17210;19760;24880;28430;33010;40840;4,0;4,5;0,28;75,3;65,8;4,0;5,5;28,5;8,4;6,0;1,3;2,6;2,1;-18,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720705;Casseyrols;34172;Montpellier;39,2;10550;14450;20400;0,68;7950;9680;11230;12750;16350;18810;22320;27900;3,5;4,5;0,29;69,1;58,3;6,3;4,5;20,0;5,1;18,5;3,6;8,5;6,4;-12,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720707;Le Petit Bard;34172;Montpellier;58,2;9210;11790;15090;0,50;6900;8560;9570;10590;12790;14200;16030;18800;2,7;3,6;0,25;53,4;43,8;7,4;2,2;17,7;5,9;31,5;8,7;12,7;10,1;-8,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720801;La Piscine;34172;Montpellier;17,3;14510;20610;27670;0,64;10470;13230;15650;18240;23080;25970;30120;38710;3,7;4,7;0,30;70,5;60,8;3,6;6,1;30,8;10,7;6,3;2,3;2,3;1,7;-18,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720802;Agriculture;34172;Montpellier;21,5;13250;19320;26540;0,69;9200;12220;14470;16750;21600;24730;28480;35550;3,9;4,8;0,31;72,6;60,4;4,4;7,8;28,8;8,3;8,0;2,0;3,4;2,6;-17,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720803;Astruc;34172;Montpellier;24,7;12740;19230;29690;0,88;8980;11480;13830;16500;22810;26440;32360;45190;5,0;5,8;0,34;69,1;56,0;4,6;8,5;30,6;11,2;8,1;2,3;3,4;2,4;-19,0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720901;Les Grèzes;34172;Montpellier;14,0;16430;23350;31080;0,63;10950;14650;17900;20550;26440;29380;34100;42660;3,9;5,0;0,31;74,5;59,7;3,2;11,6;29,3;11,5;5,1;1,6;2,3;1,2;-20,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341720902;Bouisses;34172;Montpellier;18,4;14070;20530;28240;0,69;10340;13040;15330;18050;23090;26510;30620;37100;3,6;4,4;0,29;74,7;61,7;4,3;8,7;28,4;8,1;6,7;2,6;2,2;1,9;-17,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721001;La Colline;34172;Montpellier;25,0;12670;17390;25530;0,74;9220;11550;13570;15370;20320;23740;27830;34810;3,8;4,6;0,30;71,0;60,5;3,8;6,7;27,6;8,4;9,9;3,1;3,7;3,1;-16,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721002;Notre Dame de la Paix;34172;Montpellier;15,0;15470;22030;29910;0,66;10690;14110;16940;19170;25160;28090;33480;41990;3,9;5,0;0,31;66,3;52,6;3,1;10,6;35,5;12,9;5,1;1,5;2,1;1,5;-19,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721101;Estanove;34172;Montpellier;11,5;17440;23520;30640;0,56;11910;16070;18900;21030;25970;28890;33240;41950;3,5;4,0;0,27;64,0;54,7;3,2;6,1;39,6;11,7;3,7;1,4;1,3;1,0;-19,0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721102;Lepic;34172;Montpellier;17,4;14730;21240;29860;0,71;10110;13170;16220;18860;24060;27660;32780;40270;4,0;5,0;0,31;65,7;53,8;3,8;8,1;34,3;13,4;5,9;1,8;2,4;1,7;-19,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721103;Parc Montcalm;34172;Montpellier;16,5;14880;20260;26160;0,56;10900;13540;15860;18120;22430;24820;27820;32910;3,0;3,6;0,25;70,8;62,7;4,3;3,8;31,8;7,2;6,6;2,2;2,5;1,9;-16,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721201;Sabathé;34172;Montpellier;21,4;13270;18880;25690;0,66;9970;12300;14360;16620;21090;23970;28000;36500;3,7;4,3;0,29;62,5;53,7;3,8;5,0;35,6;10,6;7,8;2,4;2,9;2,5;-16,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721202;Tastavin;34172;Montpellier;23,3;13230;18090;23880;0,59;8870;11630;13970;16420;20230;22620;25180;29800;3,4;3,7;0,25;56,5;50,2;4,7;1,6;41,4;6,4;8,8;3,0;3,6;2,2;-13,1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721203;Mas Drevon-Maurin;34172;Montpellier;23,5;12930;17830;23660;0,60;9800;12050;13830;15690;19930;22110;25470;29910;3,1;3,6;0,25;59,8;53,3;4,0;2,5;37,7;6,8;9,9;2,9;4,1;2,9;-14,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721301;Croix d'Argent;34172;Montpellier;24,1;12800;17200;23230;0,61;9640;12010;13510;15270;19090;21770;25170;30900;3,2;3,7;0,26;66,7;58,0;5,1;3,6;29,7;6,7;11,4;3,0;4,7;3,7;-14,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721302;Marquerose;34172;Montpellier;20,9;13500;18810;24380;0,58;10090;12480;14450;16670;20750;23040;26390;31740;3,1;3,7;0,26;82,2;72,4;4,9;4,9;17,1;5,7;10,4;3,7;3,5;3,2;-15,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721401;Bagatelle;34172;Montpellier;22,0;13120;17580;23180;0,57;9890;12220;13980;15730;19750;21920;24800;29230;3,0;3,4;0,24;84,3;75,4;5,2;3,7;13,8;4,3;11,6;3,8;4,1;3,7;-14,0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721402;Pas du Loup;34172;Montpellier;52,9;10060;12290;15390;0,43;8420;9380;10590;11400;13360;14830;16250;19420;2,3;2,8;0,21;44,1;;;;21,5;2,9;37,6;9,1;17,1;11,4;-6,1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721501;Mion;34172;Montpellier;15,1;15740;22040;30310;0,66;10690;14400;16860;19420;25080;28040;32530;41820;3,9;4,9;0,31;69,5;57,8;3,4;8,3;32,4;12,8;5,5;1,6;2,4;1,5;-20,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721502;Saint-Martin;34172;Montpellier;29,0;11930;16840;22170;0,61;8850;11050;12800;14960;18720;20870;23870;28480;3,2;4,0;0,27;69,8;61,0;5,1;3,7;25,9;6,7;11,8;4,2;4,2;3,4;-14,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721601;Pont Trinquat;34172;Montpellier;21,9;13510;18350;24920;0,62;9570;12070;14640;16350;20760;23470;26670;33220;3,5;4,1;0,28;68,6;60,0;4,5;4,1;29,0;8,3;9,2;2,6;3,8;2,8;-15,1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721602;Aiguerelles;34172;Montpellier;14,5;15800;21810;28940;0,60;11260;14340;17100;19520;24220;26840;31240;38400;3,4;4,2;0,27;75,3;65,7;4,0;5,6;28,9;9,2;5,0;1,6;2,0;1,4;-18,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721603;La Rauze;34172;Montpellier;16,6;14650;21030;28090;0,64;10900;13290;15820;18200;23550;26320;29860;36100;3,3;4,0;0,27;68,0;59,7;4,2;4,1;33,7;8,6;6,7;1,9;2,6;2,2;-17,0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721701;Tournezy;34172;Montpellier;34,9;11330;14640;18990;0,52;8950;10660;12080;13370;16130;18020;20150;23630;2,6;3,1;0,22;72,1;63,3;6,5;2,3;13,8;3,0;21,4;5,6;8,7;7,1;-10,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721802;Port Marianne;34172;Montpellier;20,5;13570;18640;25630;0,65;9710;12470;14620;16730;21170;23750;28050;33550;3,5;4,2;0,28;80,9;70,6;5,2;5,1;19,8;6,5;9,1;1,7;4,0;3,4;-16,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721803;La Lironde;34172;Montpellier;19,9;13950;20050;28370;0,72;9340;12710;15450;17610;22960;26300;30710;38320;4,1;5,4;0,32;86,2;75,5;4,2;6,5;17,9;8,7;6,8;1,6;2,6;2,6;-19,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721804;Rive du Lez;34172;Montpellier;13,7;15700;21590;29950;0,66;11260;14430;16870;19260;24280;27860;32840;41780;3,7;4,6;0,30;86,9;75,8;4,3;6,8;18,7;8,9;5,6;1,9;1,9;1,8;-20,1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721903;Millénaire;34172;Montpellier;;16790;22670;31890;0,67;12020;15590;18200;20360;26120;30150;34180;41870;3,5;4,3;0,29;77,4;66,2;3,1;8,1;29,2;8,8;4,3;1,1;1,7;1,5;-19,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341721904;Grammont;34172;Montpellier;24,8;12760;17740;24980;0,69;9500;11790;13800;15850;20450;23380;27390;34170;3,6;4,5;0,30;82,8;71,3;5,3;6,2;13,3;6,6;13,5;3,3;6,8;3,4;-16,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341722001;Pont de Sète;34172;Montpellier;24,3;12800;18570;28780;0,86;8180;11610;14120;16400;21700;25660;31320;41010;5,0;6,3;0,35;73,2;59,6;5,3;8,3;27,0;12,2;7,0;0,8;3,4;2,8;-19,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341722002;Méditerrannée;34172;Montpellier;21,6;13480;20090;28300;0,74;9180;12310;14900;17490;23460;26570;31250;39280;4,3;5,4;0,32;67,6;57,4;4,4;5,8;30,6;15,2;6,7;1,0;3,2;2,5;-20,1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341722003;Saint-François;34172;Montpellier;26,8;12340;17720;26230;0,78;8920;11200;13130;15150;20490;23820;28320;35930;4,0;5,0;0,31;78,6;67,4;5,7;5,5;19,1;8,5;10,6;1,5;5,2;3,9;-16,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341722101;Salaison;34172;Montpellier;31,7;11450;14880;20690;0,62;8720;10370;12390;13690;16890;19230;22450;28020;3,2;3,7;0,26;63,7;56,5;5,0;2,2;26,4;5,4;16,9;4,5;7,1;5,3;-12,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341722102;Pompignane;34172;Montpellier;13,4;16650;23460;32580;0,68;11580;15100;17840;20890;26210;30610;35930;43340;3,7;4,7;0,30;65,7;54,7;3,2;7,8;35,6;14,9;4,5;1,5;1,7;1,3;-20,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341722201;Les Aubes;34172;Montpellier;13,6;15930;21700;29010;0,60;11490;15020;17270;19680;24410;27450;31280;40000;3,5;4,1;0,27;75,5;63,4;3,4;8,7;27,9;10,4;4,5;1,5;1,8;1,2;-18,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341722202;Rimbaud;34172;Montpellier;22,7;13680;20960;28430;0,70;9680;12030;15110;18200;23300;26700;30910;39080;4,0;4,8;0,30;67,6;57,2;3,8;6,6;32,7;10,1;7,2;1,8;3,2;2,2;-17,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341722301;Fac de Pharmacie;34172;Montpellier;14,9;16280;23630;33220;0,72;10810;14480;18000;21140;27080;30570;36350;48320;4,5;5,5;0,33;79,0;63,1;3,3;12,6;26,4;12,8;4,4;1,1;1,8;1,5;-22,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341722302;Ecole Normale;34172;Montpellier;14,7;16050;24140;34110;0,75;10630;14700;17740;20790;28150;32000;38730;50360;4,7;6,4;0,36;81,4;64,0;3,7;13,7;22,2;15,6;4,0;1,0;1,4;1,6;-23,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341722303;Boutonnet;34172;Montpellier;23,3;13220;20400;29150;0,78;9170;11920;15140;17800;23240;26260;32550;43860;4,8;6,1;0,35;75,4;65,8;3,3;6,3;24,9;12,0;6,9;2,3;2,3;2,3;-19,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341722304;Sainte-Odile;34172;Montpellier;14,0;16780;23130;32280;0,67;10390;14780;18370;20990;26650;30410;34400;43290;4,2;4,8;0,29;65,7;56,7;2,6;6,4;39,6;9,9;4,5;1,0;1,8;1,7;-19,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
