IRIS;LIBIRIS;COM;LIBCOM;DISP_TP6018;DISP_Q118;DISP_MED18;DISP_Q318;DISP_EQ18;DISP_D118;DISP_D218;DISP_D318;DISP_D418;DISP_D618;DISP_D718;DISP_D818;DISP_D918;DISP_RD18;DISP_S80S2018;DISP_GI18;DISP_PACT18;DISP_PTSA18;DISP_PCHO18;DISP_PBEN18;DISP_PPEN18;DISP_PPAT18;DISP_PPSOC18;DISP_PPFAM18;DISP_PPMINI18;DISP_PPLOGT18;DISP_PIMPOT18;DISP_NOTE18
010040101;Les Perouses-Triangle d'Activité;01004;Ambérieu-en-Bugey;20,1;14000;19300;25250;0,58;10340;13010;14970;17020;21600;24140;26900;31610;3,1;3,4;0,242;71,3;65,6;3,0;2,7;27,7;7,3;8,8;3,4;3,4;2,0;-15,1;0
010040102;Longeray-Gare;01004;Ambérieu-en-Bugey;25,7;12890;17530;23100;0,58;9970;12030;13710;15570;19460;21620;24720;29840;3,0;3,4;0,245;69,5;63,1;4,2;2,2;26,2;6,6;11,5;3,9;4,5;3,1;-13,8;0
010040201;Centre-Saint-Germain-Vareilles;01004;Ambérieu-en-Bugey;19,1;14090;19580;26320;0,62;11000;13140;15170;17640;21930;24970;27860;33210;3,0;3,7;0,263;70,9;63,6;3,1;4,2;28,9;8,2;7,8;3,1;2,6;2,1;-15,8;0
010040202;Tiret-Les Allymes;01004;Ambérieu-en-Bugey;8,9;18360;24530;31590;0,54;13600;17120;19550;21970;27010;29790;33960;40790;3,0;4,5;0,315;71,4;65,5;2,3;3,6;23,6;21,2;4,1;2,1;1,2;0,8;-20,3;0
010330102;Centre Ville;01033;Valserhône;18,6;14060;19960;28100;0,70;10230;13330;15420;17470;22910;25730;30460;39080;3,8;4,8;0,305;74,4;67,8;4,2;2,4;26,7;8,4;5,2;1,6;2,0;1,6;-14,7;0
010330103;Lancrans-Coupy-Vanchy;01033;Valserhône;15,1;16070;23160;33750;0,76;11500;14630;17280;20360;26380;30840;37510;47490;4,1;5,0;0,312;82,0;76,4;3,6;2,0;20,5;8,4;4,3;1,8;1,5;1,0;-15,2;0
010330201;Arc Vouvray-Gare-Châtillon;01033;Valserhône;15,5;16370;23750;33380;0,72;10840;14820;17570;20840;26820;30780;37770;49520;4,6;5,5;0,329;77,7;70,6;3,4;3,7;27,5;7,2;3,5;1,6;1,0;0,9;-15,9;0
010330202;Plateau de Musinens;01033;Valserhône;24,2;13130;18480;26140;0,70;10060;12350;14120;16010;21030;23880;28750;36110;3,6;4,3;0,292;68,8;64,2;3,5;1,1;31,6;5,1;8,2;2,8;3,3;2,1;-13,7;0
010330301;Arlod;01033;Valserhône;19,6;14430;19890;27800;0,67;10270;13120;15440;17840;23110;26320;31230;38050;3,7;4,5;0,288;81,8;76,2;4,9;0,7;20,1;4,7;6,3;3,2;1,7;1,4;-12,9;0
010330401;Châtillon-en-Michaille;01033;Valserhône;7,3;19840;26960;37810;0,67;14490;18220;21380;23810;30550;35020;41100;51990;3,6;4,4;0,293;84,0;78,0;3,0;3,0;20,5;8,7;2,6;1,3;0,8;0,5;-15,8;0
010530101;Centre Ville;01053;Bourg-en-Bresse;19,5;14190;20320;28110;0,69;10630;13120;15340;17920;22660;25630;29880;37420;3,5;4,6;0,299;75,4;67,5;3,6;4,3;23,7;10,9;8,0;1,8;3,8;2,4;-18,0;0
010530102;Champ de Foire;01053;Bourg-en-Bresse;18,7;14920;20300;27500;0,62;10760;13410;15860;18200;22440;25550;29870;35680;3,3;4,0;0,271;56,7;50,6;3,1;3,0;43,8;10,8;6,2;1,3;3,0;1,9;-17,5;0
010530103;Préfecture;01053;Bourg-en-Bresse;17,0;15140;21820;30470;0,70;10880;13620;16450;18900;24190;28210;33910;44240;4,1;5,9;0,351;70,2;59,1;3,2;7,9;32,0;14,6;4,9;1,4;2,0;1,5;-21,7;0
010530201;Citadelle;01053;Bourg-en-Bresse;17,0;14960;20120;26610;0,58;11060;13820;15920;18230;22300;25040;28800;35220;3,2;4,1;0,283;67,4;61,7;2,7;3,0;34,2;9,0;6,9;2,0;2,9;2,0;-17,5;0
010530202;Mail;01053;Bourg-en-Bresse;28,6;12120;17120;24220;0,71;9440;11180;13380;15150;19550;22670;25990;31930;3,4;4,2;0,279;67,3;59,9;4,3;3,1;28,4;6,8;12,1;3,8;5,2;3,1;-14,6;0
010530203;Peloux;01053;Bourg-en-Bresse;16,8;14810;20330;26610;0,58;11510;14000;15970;18050;22380;24870;28870;35050;3,0;3,7;0,262;70,6;64,1;3,3;3,2;30,2;8,0;7,5;2,6;2,9;2,0;-16,3;0
010530301;Gare;01053;Bourg-en-Bresse;10,3;17080;23080;30860;0,60;12900;15920;18380;20560;25630;28990;33920;44000;3,4;4,7;0,314;73,8;65,9;2,6;5,3;30,3;11,8;4,4;1,1;2,0;1,3;-20,3;0
010530302;Brou;01053;Bourg-en-Bresse;20,6;13820;19230;26050;0,64;10230;12860;15150;17200;21660;24420;27940;35410;3,5;4,6;0,306;72,0;65,9;3,1;3,0;31,0;7,8;8,0;2,5;3,3;2,2;-18,8;0
010530401;Vennes-Ouest;01053;Bourg-en-Bresse;20,7;13870;19360;26050;0,63;10180;13000;15310;17270;21790;24200;27750;33470;3,3;3,8;0,263;64,5;56,8;3,0;4,7;35,5;7,3;8,0;3,3;3,0;1,7;-15,3;0
010530402;Vennes-Est;01053;Bourg-en-Bresse;9,2;17020;22640;28680;0,52;13270;16140;18200;20500;24890;26960;30830;36900;2,8;3,2;0,234;68,9;63,5;3,0;2,4;36,8;7,5;4,5;1,9;1,5;1,1;-17,7;0
010530501;Baudières;01053;Bourg-en-Bresse;;17130;22850;30330;0,58;12470;15660;18410;20640;25330;28480;32630;39950;3,2;4,2;0,286;55,8;51,2;1,4;3,2;47,5;11,8;4,0;1,2;1,7;1,1;-19,1;0
010530502;Sardieres;01053;Bourg-en-Bresse;17,7;14750;20400;27970;0,65;11300;13500;15840;18030;22850;25920;30360;39380;3,5;4,5;0,305;65,0;57,0;2,3;5,7;34,9;12,4;6,3;2,6;2,2;1,5;-18,6;0
010530503;Croix Blanche;01053;Bourg-en-Bresse;40,0;10880;14320;19050;0,57;8540;10100;11650;13010;15700;17540;20100;23570;2,8;3,5;0,252;60,5;54,4;5,1;1,0;24,4;4,9;21,4;6,2;9,3;5,9;-11,2;0
010530601;Pont-des-Chevres;01053;Bourg-en-Bresse;34,3;11960;15990;21380;0,59;9050;11040;12580;13980;17670;20070;23240;27610;3,0;3,6;0,251;53,0;47,7;4,2;1,1;38,5;6,1;14,4;4,5;6,0;3,9;-12,0;0
010530602;Reyssouze-Ouest;01053;Bourg-en-Bresse;37,6;11170;14900;19880;0,58;8430;10300;11930;13340;16650;18880;21250;25480;3,0;3,5;0,243;53,8;47,4;5,0;1,4;36,4;5,6;15,5;5,4;6,1;4,0;-11,3;0
010530603;Reyssouze-Est;01053;Bourg-en-Bresse;43,8;10960;13790;17790;0,50;8850;10180;11510;12710;15170;16920;18960;22650;2,6;3,0;0,216;55,0;;;;30,8;2,9;20,6;5,9;8,6;6,1;-9,3;0
010530604;Cenord-Grand Challes;01053;Bourg-en-Bresse;;15500;21640;27560;0,56;9900;13980;16550;19420;23450;26150;29700;35580;3,6;4,8;0,280;59,2;53,5;1,9;3,8;41,3;9,9;6,1;2,2;2,5;1,4;-16,5;0
010530701;Granges Bardes-Alagnier;01053;Bourg-en-Bresse;14,2;15390;20770;26210;0,52;11780;14350;16520;18670;22810;24850;27670;32500;2,8;3,5;0,246;74,5;69,1;2,8;2,6;28,1;7,5;7,2;3,0;2,6;1,6;-17,3;0
